depth,Number_Trees,Learning Rate,Accuracy
1,50,0.3,0.6875
1,50,0.6,0.6796875
1,50,1.0,0.65625
1,60,0.3,0.6875
1,60,0.6,0.671875
1,60,1.0,0.671875
1,70,0.3,0.6953125
1,70,0.6,0.6640625
1,70,1.0,0.6875
1,80,0.3,0.703125
1,80,0.6,0.703125
1,80,1.0,0.6953125
1,90,0.3,0.703125
1,90,0.6,0.6953125
1,90,1.0,0.6875
1,100,0.3,0.6953125
1,100,0.6,0.6796875
1,100,1.0,0.671875
2,50,0.3,0.6953125
2,50,0.6,0.671875
2,50,1.0,0.703125
2,60,0.3,0.6953125
2,60,0.6,0.640625
2,60,1.0,0.71875
2,70,0.3,0.71875
2,70,0.6,0.6796875
2,70,1.0,0.6875
2,80,0.3,0.6875
2,80,0.6,0.671875
2,80,1.0,0.6796875
2,90,0.3,0.703125
2,90,0.6,0.6796875
2,90,1.0,0.703125
2,100,0.3,0.6953125
2,100,0.6,0.703125
2,100,1.0,0.6953125
3,50,0.3,0.6875
3,50,0.6,0.7265625
3,50,1.0,0.7265625
3,60,0.3,0.703125
3,60,0.6,0.71875
3,60,1.0,0.7421875
3,70,0.3,0.6796875
3,70,0.6,0.71875
3,70,1.0,0.734375
3,80,0.3,0.6953125
3,80,0.6,0.71875
3,80,1.0,0.7265625
3,90,0.3,0.7109375
3,90,0.6,0.71875
3,90,1.0,0.7265625
3,100,0.3,0.703125
3,100,0.6,0.7109375
3,100,1.0,0.75
4,50,0.3,0.734375
4,50,0.6,0.734375
4,50,1.0,0.71875
4,60,0.3,0.7578125
4,60,0.6,0.7421875
4,60,1.0,0.7578125
4,70,0.3,0.765625
4,70,0.6,0.75
4,70,1.0,0.734375
4,80,0.3,0.75
4,80,0.6,0.7421875
4,80,1.0,0.7421875
4,90,0.3,0.7421875
4,90,0.6,0.734375
4,90,1.0,0.734375
4,100,0.3,0.75
4,100,0.6,0.7578125
4,100,1.0,0.7265625
