depth,Number_Trees,Learning Rate,Accuracy
1,50,0.3,0.7511612475116125
1,50,0.6,0.7670869276708693
1,50,1.0,0.7816854678168547
1,60,0.3,0.7538155275381553
1,60,0.6,0.774386197743862
1,60,1.0,0.7763769077637691
1,70,0.3,0.7577969475779694
1,70,0.6,0.7777040477770405
1,70,1.0,0.7850033178500332
1,80,0.3,0.7637690776376908
1,80,0.6,0.7843397478433974
1,80,1.0,0.794293297942933
1,90,0.3,0.7737226277372263
1,90,0.6,0.7869940278699403
1,90,1.0,0.8055739880557399
1,100,0.3,0.7763769077637691
1,100,0.6,0.7923025879230259
1,100,1.0,0.8108825481088254
2,50,0.3,0.834107498341075
2,50,0.6,0.8586595885865959
2,50,1.0,0.8619774386197744
2,60,0.3,0.8394160583941606
2,60,0.6,0.8719309887193099
2,60,1.0,0.8785666887856669
2,70,0.3,0.8526874585268746
2,70,0.6,0.8706038487060385
2,70,1.0,0.893828798938288
2,80,0.3,0.8566688785666888
2,80,0.6,0.8838752488387525
2,80,1.0,0.9110816191108162
2,90,0.3,0.8626410086264101
2,90,0.6,0.8978102189781022
2,90,1.0,0.9044459190444591
2,100,0.3,0.8845388188453882
2,100,0.6,0.8984737889847378
2,100,1.0,0.9223623092236231
3,50,0.3,0.9090909090909091
3,50,0.6,0.9163901791639018
3,50,1.0,0.9323158593231586
3,60,0.3,0.9170537491705375
3,60,0.6,0.9329794293297943
3,60,1.0,0.9422694094226941
3,70,0.3,0.9197080291970803
3,70,0.6,0.9422694094226941
3,70,1.0,0.9508958195089582
3,80,0.3,0.93364299933643
3,80,0.6,0.9502322495023225
3,80,1.0,0.9581950895819509
3,90,0.3,0.9409422694094227
3,90,0.6,0.9568679495686795
3,90,1.0,0.9595222295952223
3,100,0.3,0.9449236894492369
3,100,0.6,0.9635036496350365
3,100,1.0,0.962176509621765
4,50,0.3,0.9588586595885866
4,50,0.6,0.9635036496350365
4,50,1.0,0.9588586595885866
4,60,0.3,0.9654943596549436
4,60,0.6,0.9688122096881221
4,60,1.0,0.9681486396814863
4,70,0.3,0.9674850696748507
4,70,0.6,0.9701393497013935
4,70,1.0,0.966821499668215
4,80,0.3,0.9727936297279363
4,80,0.6,0.9727936297279363
4,80,1.0,0.9708029197080292
4,90,0.3,0.9794293297942933
4,90,0.6,0.973457199734572
4,90,1.0,0.9721300597213006
4,100,0.3,0.9787657597876576
4,100,0.6,0.9741207697412076
4,100,1.0,0.9714664897146649
