Model,Optimizer,Learning Rate,Momentum,Validation Loss,Accuracy
Model_0,Adam,0.001,,0.627694875234738,62.5
Model_0,Adam,0.003,,0.6748736678273417,67.1875
Model_0,Adam,0.006,,0.6444999948143959,65.625
Model_0,Adam,0.01,,0.8688740816141944,56.25
Model_0,SGD,0.001,0.9,0.6017792639322579,64.0625
Model_0,SGD,0.003,0.9,0.5646609325776808,60.9375
Model_0,SGD,0.006,0.9,0.5442246696911752,60.9375
Model_0,SGD,0.01,0.9,0.5814009294845164,65.625
Model_0,SGD,0.001,0.95,0.6426819090847857,54.6875
Model_0,SGD,0.003,0.95,0.6065371471922845,64.0625
Model_0,SGD,0.006,0.95,0.6526523400098085,60.9375
Model_0,SGD,0.01,0.95,0.7043408574536443,56.25
Model_0,SGD,0.001,0.99,0.5765258271130733,60.9375
Model_0,SGD,0.003,0.99,0.6871925815939903,56.25
Model_0,SGD,0.006,0.99,0.6855544093996286,56.25
Model_0,SGD,0.01,0.99,0.7056859154254198,56.25
Model_1,Adam,0.001,,0.5741466626059264,57.8125
Model_1,Adam,0.003,,0.5873547058872646,67.1875
Model_1,Adam,0.006,,0.6014100266620517,67.1875
Model_1,Adam,0.01,,0.6930701769888401,56.25
Model_1,SGD,0.001,0.9,0.5691938339732587,62.5
Model_1,SGD,0.003,0.9,0.5331613076559734,70.3125
Model_1,SGD,0.006,0.9,0.593662922095973,65.625
Model_1,SGD,0.01,0.9,0.6010831565363333,64.0625
Model_1,SGD,0.001,0.95,0.6252366346889175,60.9375
Model_1,SGD,0.003,0.95,0.5786969762993976,56.25
Model_1,SGD,0.006,0.95,0.5254538168665022,70.3125
Model_1,SGD,0.01,0.95,0.6871452257037163,56.25
Model_1,SGD,0.001,0.99,0.568125709774904,67.1875
Model_1,SGD,0.003,0.99,0.6923463121056557,56.25
Model_1,SGD,0.006,0.99,0.7168959537521005,56.25
Model_1,SGD,0.01,0.99,0.6906030867248774,56.25
Model_2,Adam,0.001,,0.6869745563017204,62.5
Model_2,Adam,0.003,,0.7456315932795405,56.25
Model_2,Adam,0.006,,0.6911616884171963,56.25
Model_2,Adam,0.01,,0.6929603293538094,56.25
Model_2,SGD,0.001,0.9,0.6153415632434189,67.1875
Model_2,SGD,0.003,0.9,0.6525177925941534,59.375
Model_2,SGD,0.006,0.9,0.5458518922096118,64.0625
Model_2,SGD,0.01,0.9,0.7310841826256365,57.8125
Model_2,SGD,0.001,0.95,0.5488046548562124,59.375
Model_2,SGD,0.003,0.95,0.7068923271726817,59.375
Model_2,SGD,0.006,0.95,0.6397616993635893,68.75
Model_2,SGD,0.01,0.95,1.03959722770378,56.25
Model_2,SGD,0.001,0.99,0.6440096467267722,67.1875
Model_2,SGD,0.003,0.99,0.688763989135623,56.25
Model_2,SGD,0.006,0.99,0.6914587235078216,56.25
Model_2,SGD,0.01,0.99,43.75,56.25
