Model,Optimizer,Learning Rate,Momentum,Validation Loss,Accuracy
Model_0,Adam,0.001,,0.44014012565215427,75.46419098143237
Model_0,Adam,0.003,,0.4047315114488204,79.84084880636605
Model_0,Adam,0.006,,0.4114950882891814,78.91246684350132
Model_0,Adam,0.01,,0.4461310673505068,77.85145888594164
Model_0,SGD,0.001,0.9,0.563602744291226,69.36339522546419
Model_0,SGD,0.003,0.9,0.4970623341699441,73.87267904509284
Model_0,SGD,0.006,0.9,0.46247124671936035,75.46419098143237
Model_0,SGD,0.01,0.9,0.41863198826710385,81.43236074270557
Model_0,SGD,0.001,0.95,0.5203260394434134,69.49602122015915
Model_0,SGD,0.003,0.95,0.4691350969175498,71.08753315649868
Model_0,SGD,0.006,0.95,0.4343893888096015,78.11671087533156
Model_0,SGD,0.01,0.95,0.4374544285237789,77.18832891246684
Model_0,SGD,0.001,0.99,0.4649161994457245,74.27055702917772
Model_0,SGD,0.003,0.99,0.49535275002320606,74.0053050397878
Model_0,SGD,0.006,0.99,0.48135070875287056,74.27055702917772
Model_0,SGD,0.01,0.99,0.5278359266618887,72.0159151193634
Model_1,Adam,0.001,,0.3191441788027684,84.48275862068965
Model_1,Adam,0.003,,0.3521516996746262,83.0238726790451
Model_1,Adam,0.006,,0.4164072014391422,80.10610079575596
Model_1,Adam,0.01,,0.4362513783077399,77.58620689655173
Model_1,SGD,0.001,0.9,0.5185324375828108,73.342175066313
Model_1,SGD,0.003,0.9,0.4423639091352622,78.64721485411141
Model_1,SGD,0.006,0.9,0.4138267853607734,78.77984084880637
Model_1,SGD,0.01,0.9,0.4316961206495762,78.24933687002653
Model_1,SGD,0.001,0.95,0.46338756879170734,75.19893899204244
Model_1,SGD,0.003,0.95,0.4127201723555724,79.70822281167109
Model_1,SGD,0.006,0.95,0.4259471384187539,77.71883289124668
Model_1,SGD,0.01,0.95,0.3847518054147561,80.76923076923077
Model_1,SGD,0.001,0.99,0.4423761088401079,75.06631299734748
Model_1,SGD,0.003,0.99,0.429745402187109,78.38196286472149
Model_1,SGD,0.006,0.99,0.48545023674766224,74.53580901856763
Model_1,SGD,0.01,0.99,0.5069161256154379,73.87267904509284
Model_2,Adam,0.001,,0.37081759236752987,82.89124668435014
Model_2,Adam,0.003,,0.32781045387188595,84.48275862068965
Model_2,Adam,0.006,,0.45548203960061073,74.80106100795756
Model_2,Adam,0.01,,0.7024890333414078,56.23342175066313
Model_2,SGD,0.001,0.9,0.5899327583611012,71.88328912466844
Model_2,SGD,0.003,0.9,0.503142561763525,75.06631299734748
Model_2,SGD,0.006,0.9,0.4874773919582367,74.53580901856763
Model_2,SGD,0.01,0.9,0.4346800595521927,76.52519893899205
Model_2,SGD,0.001,0.95,0.5519931527475516,73.342175066313
Model_2,SGD,0.003,0.95,0.47540083527565,75.9946949602122
Model_2,SGD,0.006,0.95,0.4244135022163391,75.9946949602122
Model_2,SGD,0.01,0.95,0.39720428362488747,78.64721485411141
Model_2,SGD,0.001,0.99,0.4409529007971287,79.17771883289124
Model_2,SGD,0.003,0.99,0.4249240954717,79.70822281167109
Model_2,SGD,0.006,0.99,0.46300908736884594,74.6684350132626
Model_2,SGD,0.01,0.99,0.6011360802998146,72.14854111405836
