Model,Optimizer,Learning Rate,Momentum,Validation Loss,Accuracy
Model_0,Adam,0.001,,0.4834496125224091,78.34513604174431
Model_0,Adam,0.003,,0.5013681258119288,77.05926202012672
Model_0,Adam,0.006,,0.5296725636082036,75.86656727543794
Model_0,Adam,0.01,,0.5540622401805151,72.99664554603056
Model_0,SGD,0.001,0.9,0.5312454358098053,75.68020872158031
Model_0,SGD,0.003,0.9,0.5106658813144479,76.85426761088334
Model_0,SGD,0.006,0.9,0.5166561981397015,75.90383898620946
Model_0,SGD,0.01,0.9,0.49688067766172545,77.65560939247112
Model_0,SGD,0.001,0.95,0.517124202634607,76.4815505031681
Model_0,SGD,0.003,0.95,0.5019282338519891,77.11516958628401
Model_0,SGD,0.006,0.95,0.5012404948827767,77.1710771524413
Model_0,SGD,0.01,0.95,0.5132570747463476,76.4256429370108
Model_0,SGD,0.001,0.99,0.5097273538510004,76.81699590011182
Model_0,SGD,0.003,0.99,0.5420686384396893,75.02795378307864
Model_0,SGD,0.006,0.99,0.5871261207475549,72.49347745061499
Model_0,SGD,0.01,0.99,0.5906344116443679,72.49347745061499
Model_1,Adam,0.001,,0.41249965308677583,81.86731270965338
Model_1,Adam,0.003,,0.480388257386429,79.42601565411853
Model_1,Adam,0.006,,0.5127014904504731,76.53745806932538
Model_1,Adam,0.01,,0.5885460862801188,72.47484159522922
Model_1,SGD,0.001,0.9,0.5128199202673775,76.74245247856877
Model_1,SGD,0.003,0.9,0.46718271254074006,79.63101006336191
Model_1,SGD,0.006,0.9,0.4330431033990213,81.47595974655236
Model_1,SGD,0.01,0.9,0.46220833080865087,79.42601565411853
Model_1,SGD,0.001,0.95,0.4832578015824159,77.99105478941483
Model_1,SGD,0.003,0.95,0.4478220958262682,79.96645546030562
Model_1,SGD,0.006,0.95,0.44321135999191374,80.56280283265002
Model_1,SGD,0.01,0.95,0.45618877923559575,79.20238538948938
Model_1,SGD,0.001,0.99,0.458184884949809,79.388743943347
Model_1,SGD,0.003,0.99,0.48056937009096146,78.79239657100261
Model_1,SGD,0.006,0.99,0.5336707166972614,75.88520313082371
Model_1,SGD,0.01,0.99,0.5893602601829029,72.47484159522922
Model_2,Adam,0.001,,0.3787379384573017,83.22773015281402
Model_2,Adam,0.003,,0.4369044630300431,81.12187849422288
Model_2,Adam,0.006,,0.5991965221861998,72.47484159522922
Model_2,Adam,0.01,,0.5901577880694753,72.47484159522922
Model_2,SGD,0.001,0.9,0.5454947740903923,74.8043235184495
Model_2,SGD,0.003,0.9,0.5226007267123177,76.63063734625419
Model_2,SGD,0.006,0.9,0.5012564302555153,78.02832650018635
Model_2,SGD,0.01,0.9,0.46992951312235426,78.71785314945956
Model_2,SGD,0.001,0.95,0.5335097770605769,75.92247484159523
Model_2,SGD,0.003,0.95,0.5015061126933211,77.3201639955274
Model_2,SGD,0.006,0.95,0.4599590791123254,79.35147223257547
Model_2,SGD,0.01,0.95,0.461295972799971,79.89191203876258
Model_2,SGD,0.001,0.99,0.48079652374699,78.17741334327246
Model_2,SGD,0.003,0.99,0.4649816997171867,79.46328736489005
Model_2,SGD,0.006,0.99,0.4996399421777044,78.02832650018635
Model_2,SGD,0.01,0.99,0.6563875437492416,72.47484159522922
