Model,Optimizer,Learning Rate,Momentum,Validation Loss,Accuracy
Model_0,Adam,0.001,,0.5411503845352238,72.9952203929899
Model_0,Adam,0.003,,0.5697653553748535,69.54328199681359
Model_0,Adam,0.006,,0.5985058962793673,67.44556558682953
Model_0,Adam,0.01,,0.617788823731875,65.13542219861922
Model_0,SGD,0.001,0.9,0.6135811295549748,65.10886882634095
Model_0,SGD,0.003,0.9,0.5810338925507109,68.18906001062135
Model_0,SGD,0.006,0.9,0.5635327732158919,70.0477960701009
Model_0,SGD,0.01,0.9,0.5700330721624827,69.88847583643123
Model_0,SGD,0.001,0.95,0.5932278188608461,66.99415825809878
Model_0,SGD,0.003,0.95,0.57523354231301,69.11842804036112
Model_0,SGD,0.006,0.95,0.5784704086639113,68.37493361656931
Model_0,SGD,0.01,0.95,0.5737244706537764,68.66702071163037
Model_0,SGD,0.001,0.99,0.6090061305943182,66.94105151354222
Model_0,SGD,0.003,0.99,0.611382744827513,64.28571428571429
Model_0,SGD,0.006,0.99,0.6361343552500515,63.4891131173659
Model_0,SGD,0.01,0.99,0.6561468395136171,63.38289962825279
Model_1,Adam,0.001,,0.4612226916824357,77.85448751991503
Model_1,Adam,0.003,,0.5221869276236679,72.25172596919809
Model_1,Adam,0.006,,0.5763637633141825,67.49867233138609
Model_1,Adam,0.01,,0.6198764135271816,63.32979288369623
Model_1,SGD,0.001,0.9,0.5916894007537324,68.34838024429102
Model_1,SGD,0.003,0.9,0.5322983315435507,71.90653212958046
Model_1,SGD,0.006,0.9,0.5020741625862607,74.9336165693043
Model_1,SGD,0.01,0.9,0.4969173248036433,74.05735528412109
Model_1,SGD,0.001,0.95,0.551802755664971,71.10993096123208
Model_1,SGD,0.003,0.95,0.5281167070744401,74.00424853956453
Model_1,SGD,0.006,0.95,0.5319811264842244,72.86245353159852
Model_1,SGD,0.01,0.95,0.5185733429961286,73.3935209771641
Model_1,SGD,0.001,0.99,0.5343017974647425,72.01274561869357
Model_1,SGD,0.003,0.99,0.5464053787922455,70.76473712161444
Model_1,SGD,0.006,0.99,0.6039601430549459,66.27721720658523
Model_1,SGD,0.01,0.99,0.6577809094372442,63.32979288369623
Model_2,Adam,0.001,,0.4224467932925386,80.88157195963888
Model_2,Adam,0.003,,0.4901585999434277,76.12851832182687
Model_2,Adam,0.006,,0.659722570140483,63.32979288369623
Model_2,Adam,0.01,,0.6635478608689066,63.32979288369623
Model_2,SGD,0.001,0.9,0.620760286763563,64.36537440254912
Model_2,SGD,0.003,0.9,0.6027063267715906,66.22411046202868
Model_2,SGD,0.006,0.9,0.572412693652056,68.45459373340414
Model_2,SGD,0.01,0.9,0.5535650076502461,70.12745618693575
Model_2,SGD,0.001,0.95,0.602773704013582,66.99415825809878
Model_2,SGD,0.003,0.95,0.5649733508037309,69.62294211364843
Model_2,SGD,0.006,0.95,0.530305168133671,71.90653212958046
Model_2,SGD,0.01,0.95,0.5298398437641435,72.03929899097186
Model_2,SGD,0.001,0.99,0.5515900875552225,69.56983536909188
Model_2,SGD,0.003,0.99,0.5246278512275825,71.9861922464153
Model_2,SGD,0.006,0.99,0.5775985654632924,68.66702071163037
Model_2,SGD,0.01,0.99,0.6889601018974336,63.32979288369623
