depth,Number_Trees,Learning Rate,Accuracy
1,50,0.3,0.6651785714285714
1,50,0.6,0.6607142857142857
1,50,1.0,0.6428571428571429
1,60,0.3,0.6473214285714286
1,60,0.6,0.6517857142857143
1,60,1.0,0.6428571428571429
1,70,0.3,0.65625
1,70,0.6,0.6473214285714286
1,70,1.0,0.5982142857142857
1,80,0.3,0.65625
1,80,0.6,0.6517857142857143
1,80,1.0,0.6205357142857143
1,90,0.3,0.6651785714285714
1,90,0.6,0.6696428571428571
1,90,1.0,0.6205357142857143
1,100,0.3,0.6696428571428571
1,100,0.6,0.6517857142857143
1,100,1.0,0.5982142857142857
2,50,0.3,0.6875
2,50,0.6,0.6651785714285714
2,50,1.0,0.6116071428571429
2,60,0.3,0.6830357142857143
2,60,0.6,0.6651785714285714
2,60,1.0,0.625
2,70,0.3,0.6875
2,70,0.6,0.6696428571428571
2,70,1.0,0.6205357142857143
2,80,0.3,0.6696428571428571
2,80,0.6,0.6875
2,80,1.0,0.6785714285714286
2,90,0.3,0.6875
2,90,0.6,0.6830357142857143
2,90,1.0,0.6428571428571429
2,100,0.3,0.6741071428571429
2,100,0.6,0.6741071428571429
2,100,1.0,0.6517857142857143
3,50,0.3,0.6830357142857143
3,50,0.6,0.7098214285714286
3,50,1.0,0.7098214285714286
3,60,0.3,0.6919642857142857
3,60,0.6,0.7142857142857143
3,60,1.0,0.7142857142857143
3,70,0.3,0.6830357142857143
3,70,0.6,0.7053571428571429
3,70,1.0,0.71875
3,80,0.3,0.6919642857142857
3,80,0.6,0.7321428571428571
3,80,1.0,0.6964285714285714
3,90,0.3,0.71875
3,90,0.6,0.7232142857142857
3,90,1.0,0.7053571428571429
3,100,0.3,0.7232142857142857
3,100,0.6,0.71875
3,100,1.0,0.7098214285714286
4,50,0.3,0.6785714285714286
4,50,0.6,0.6651785714285714
4,50,1.0,0.6517857142857143
4,60,0.3,0.6651785714285714
4,60,0.6,0.6741071428571429
4,60,1.0,0.65625
4,70,0.3,0.6875
4,70,0.6,0.7098214285714286
4,70,1.0,0.6651785714285714
4,80,0.3,0.7008928571428571
4,80,0.6,0.7098214285714286
4,80,1.0,0.6785714285714286
4,90,0.3,0.6964285714285714
4,90,0.6,0.6875
4,90,1.0,0.6830357142857143
4,100,0.3,0.6830357142857143
4,100,0.6,0.6875
4,100,1.0,0.6830357142857143
