Model,Optimizer,Learning Rate,Momentum,Validation Loss,Accuracy
Model_0,Adam,0.001,,0.6765981444290706,55.357142857142854
Model_0,Adam,0.003,,0.655037601611444,64.28571428571429
Model_0,Adam,0.006,,0.6651842503675393,60.714285714285715
Model_0,Adam,0.01,,0.6899045067174094,58.035714285714285
Model_0,SGD,0.001,0.9,0.6463754171771663,64.28571428571429
Model_0,SGD,0.003,0.9,0.6674537139811686,61.607142857142854
Model_0,SGD,0.006,0.9,0.6727156745535987,64.28571428571429
Model_0,SGD,0.01,0.9,0.6745081421520028,58.035714285714285
Model_0,SGD,0.001,0.95,0.6476901639252901,64.28571428571429
Model_0,SGD,0.003,0.95,0.679093223198184,61.607142857142854
Model_0,SGD,0.006,0.95,0.6930787648473468,58.035714285714285
Model_0,SGD,0.01,0.95,0.7008508411901337,41.964285714285715
Model_0,SGD,0.001,0.99,0.6819901221564838,58.035714285714285
Model_0,SGD,0.003,0.99,0.6991974722061839,41.964285714285715
Model_0,SGD,0.006,0.99,0.6892107799649239,58.035714285714285
Model_0,SGD,0.01,0.99,0.7140633964112827,41.964285714285715
Model_1,Adam,0.001,,0.6718876028566488,62.5
Model_1,Adam,0.003,,0.7015178448387555,60.714285714285715
Model_1,Adam,0.006,,0.6875598547714097,58.035714285714285
Model_1,Adam,0.01,,0.6855241347636495,58.035714285714285
Model_1,SGD,0.001,0.9,0.6333391331136227,64.28571428571429
Model_1,SGD,0.003,0.9,0.6891952602724943,62.5
Model_1,SGD,0.006,0.9,0.6427022005830493,64.28571428571429
Model_1,SGD,0.01,0.9,0.6509449072182178,59.82142857142857
Model_1,SGD,0.001,0.95,0.6427995764783451,64.28571428571429
Model_1,SGD,0.003,0.95,0.6655159800180367,58.035714285714285
Model_1,SGD,0.006,0.95,0.6913334844367844,58.035714285714285
Model_1,SGD,0.01,0.95,0.6965493378894669,46.42857142857143
Model_1,SGD,0.001,0.99,0.6776922919920513,60.714285714285715
Model_1,SGD,0.003,0.99,0.6842875342283931,58.035714285714285
Model_1,SGD,0.006,0.99,0.7116321005991527,41.964285714285715
Model_1,SGD,0.01,0.99,0.7490798969353948,41.964285714285715
Model_2,Adam,0.001,,0.654042045452765,64.28571428571429
Model_2,Adam,0.003,,0.6834199205040932,58.035714285714285
Model_2,Adam,0.006,,0.7114632448979786,41.964285714285715
Model_2,Adam,0.01,,0.7776473356144769,41.964285714285715
Model_2,SGD,0.001,0.9,0.6381280209336962,66.07142857142857
Model_2,SGD,0.003,0.9,0.6474333751414504,66.07142857142857
Model_2,SGD,0.006,0.9,0.6611959239734071,64.28571428571429
Model_2,SGD,0.01,0.9,0.6581293610589845,64.28571428571429
Model_2,SGD,0.001,0.95,0.666463537673865,64.28571428571429
Model_2,SGD,0.003,0.95,0.6545425632170269,62.5
Model_2,SGD,0.006,0.95,0.6601768923657281,61.607142857142854
Model_2,SGD,0.01,0.95,0.6754153871110508,60.714285714285715
Model_2,SGD,0.001,0.99,0.6635862807078021,65.17857142857143
Model_2,SGD,0.003,0.99,0.7909794950059482,41.964285714285715
Model_2,SGD,0.006,0.99,1.1076871130083288,41.964285714285715
Model_2,SGD,0.01,0.99,0.7448000258633068,58.035714285714285
